Time,Current,Spin Coating,Increasing PPM,Temperature,Repeat Sensor Use,Concentration
7,-0.841,1,1,22,2,0.76
7,-1.15,1,1,22,2,1.1
7,-3.28,1,1,22,2,3.2
7,-3.62,1,1,22,2,5.9
7,-7.82,1,1,22,2,7.39
7,-7.15,1,1,22,2,7.89
7,-5.08,1,0,22,2,5.98
7,-2.39,1,0,22,2,2.62
7,-1,1,0,22,2,0.86
7,-0.841,1,1,22,3,0.88
7,-1.92,1,1,22,3,2.12
7,-3.23,1,1,22,3,4.35
7,-5.1,1,1,22,3,6.26
7,-6.37,1,1,22,3,7.44
7,-5.32,1,1,22,3,8.71
7,-6.15,1,1,22,3,8.39
7,-2.21,1,0,22,3,2.71
7,-0.522,1,0,22,3,0.97
7,-0.422,1,1,22,1,0.93
7,-6.13,1,1,22,1,3.18
7,-9.83,1,1,22,1,4.7
7,-10.2,1,1,22,1,6.1
7,-12.3,1,1,22,1,7.89
7,-13.4,1,1,22,1,8.02
7,-9.66,1,0,22,1,6.12
7,-7.75,1,0,22,1,4.68
7,-4.02,1,0,22,3,6.5
8,-2.62,1,0,22,3,4.2
8,-3.75,1,0,22,1,2.93
8,-0.466,1,0,22,1,1.1
8,-0.616,1,1,22,1,1.04
8,-2.88,1,1,22,1,3.12
8,-4.32,1,1,22,1,5.27
8,-7.03,1,1,22,1,7.1
8,-4.91,1,0,22,1,5.1
8,-2.82,1,0,22,1,3.62
8,-0.409,1,0,22,1,0.82
8,-0.422,1,1,22,1,0.6
8,-0.428,1,1,22,1,0.56
8,-1.4,1,1,22,1,1.49
8,-1.52,1,1,22,1,1.63
8,-1.63,1,1,22,1,1.88
8,-3.5,1,1,22,1,3.37
8,-4.22,1,1,22,1,3.75
8,-7.03,1,1,22,1,6.15
8,-7.54,1,1,22,1,6.06
8,-5.46,1,1,22,1,6.47
8,-3.3,1,0,22,1,3.64
8,-0.778,1,0,22,1,0.7
8,-0.903,1,1,10.4,1,0.95
8,-0.416,1,1,10.9,1,0.95
8,-0.359,1,1,11,1,0.95
8,-1.01,1,1,15.3,1,0.95
8,-0.347,1,1,15.4,1,0.95
8,-0.409,1,1,15.5,1,0.95
8,-1.02,1,1,20.3,1,0.95
8,-0.509,1,1,20.3,1,0.95
8,-0.478,1,1,20.5,1,0.95
8,-0.497,1,1,24.9,1,0.95
8,-0.409,1,1,24.9,1,0.95
8,-0.416,1,1,24.9,1,0.95
8,-0.997,1,1,30.1,1,0.95
8,-0.316,1,1,29.9,1,0.95
8,-0.316,1,1,29.8,1,0.95
8,-0.616,1,1,35.6,1,0.95
8,-0.316,1,1,35.2,1,0.95
8,-0.228,1,1,34.8,1,0.95
8,-0.584,1,1,40.8,1,0.95
8,-0.266,1,1,39.9,1,0.95
8,-0.297,1,1,40.5,1,0.95
8,-0.316,1,1,46.3,1,0.95
8,-0.217,1,1,45.3,1,0.95
8,-0.103,1,1,44.9,1,0.95
8,-0.284,1,1,9.9,1,0.95
8,-0.216,1,1,10.2,1,0.95
8,-0.216,1,1,15.2,1,0.95
8,-0.122,1,1,15,1,0.95
8,-0.228,1,1,20,1,0.95
8,-0.134,1,1,20,1,0.95
8,-0.278,1,1,24.8,1,0.95
8,-0.191,1,1,24.8,1,0.95
8,-0.316,1,1,30,1,0.95
8,-0.209,1,1,29.5,1,0.95
8,-0.409,1,1,35,1,0.95
8,-0.216,1,1,34.5,1,0.95
8,-0.309,1,1,40,1,0.95
8,-0.216,1,1,40.2,1,0.95
8,-0.222,1,1,45.2,1,0.95
8,-0.222,1,1,45,1,0.95
8,-10.9,1,0,22,1,6.6
8,-8.3,1,0,22,1,5
8,-4.28,1,0,22,1,3.2
8,-1.82,1,0,22,1,1.3
8,-1.83,0,1,22,1,4.31
8,-1.72,0,1,22,1,4.32
8,-1.48,0,1,22,1,4.36
8,-1.62,0,1,22,1,4.38
8,-2.02,0,1,22,1,4.39
8,-1.38,0,1,22,1,4.4
8,-1.59,0,1,22,1,4.42
8,-1.57,0,1,22,1,4.43
8,-1.59,0,1,22,1,4.5
8,-1.57,0,1,22,1,4.51
8,-1.52,0,1,22,1,4.52
8,-0.522,1,1,22,1,1.04
8,-2.49,1,1,22,1,3.12
8,-3.91,1,1,22,1,5.27
8,-6.15,1,1,22,1,7.1
8,-4.91,1,0,22,1,5.1
8,-2.44,1,0,22,1,3.62
8,-0.322,1,0,22,1,0.82
8,-4.98,1,0,22,1,7.94
8,-0.709,1,1,22,2,0.76
8,-1.02,1,1,22,2,1.1
8,-2.83,1,1,22,2,3.2
8,-3.22,1,1,22,2,5.9
8,-6.88,1,1,22,2,7.39
8,-6.44,1,1,22,2,7.89
8,-4.52,1,0,22,2,5.98
8,-2.07,1,0,22,2,2.62
8,-0.816,1,0,22,2,0.86
8,-0.722,1,1,22,3,0.88
8,-1.72,1,1,22,3,2.12
8,-2.92,1,1,22,3,4.35
8,-4.6,1,1,22,3,6.26
8,-5.73,1,1,22,3,7.44
8,-4.87,1,1,22,3,8.71
8,-5.62,1,1,22,3,8.39
8,-1.92,1,0,22,3,2.71
8,-0.509,1,0,22,3,0.97
8,-0.322,1,1,22,1,0.93
8,-5.34,1,1,22,1,3.18
8,-8.27,1,1,22,1,4.7
8,-8.89,1,1,22,1,6.1
8,-10.7,1,1,22,1,7.89
8,-11.6,1,1,22,1,8.02
8,-8.3,1,0,22,1,6.12
8,-6.58,1,0,22,1,4.68
8,-3.65,1,0,22,3,6.5
9,-2.42,1,0,22,3,4.2
9,-3.38,1,0,22,1,2.93
9,-0.422,1,0,22,1,1.1
9,-0.522,1,1,22,1,1.04
9,-2.49,1,1,22,1,3.12
9,-3.91,1,1,22,1,5.27
9,-6.15,1,1,22,1,7.1
9,-4.32,1,0,22,1,5.1
9,-2.44,1,0,22,1,3.62
9,-0.322,1,0,22,1,0.82
9,-0.397,1,1,22,1,0.6
9,-0.416,1,1,22,1,0.56
9,-1.22,1,1,22,1,1.49
9,-1.32,1,1,22,1,1.63
9,-1.42,1,1,22,1,1.88
9,-3.03,1,1,22,1,3.37
9,-3.63,1,1,22,1,3.75
9,-6.13,1,1,22,1,6.15
9,-6.58,1,1,22,1,6.06
9,-4.87,1,1,22,1,6.47
9,-2.91,1,0,22,1,3.64
9,-0.684,1,0,22,1,0.7
9,-0.728,1,1,10.4,1,0.95
9,-0.328,1,1,10.9,1,0.95
9,-0.316,1,1,11,1,0.95
9,-0.822,1,1,15.3,1,0.95
9,-0.316,1,1,15.4,1,0.95
9,-0.341,1,1,15.5,1,0.95
9,-0.841,1,1,20.3,1,0.95
9,-0.462,1,1,20.3,1,0.95
9,-0.416,1,1,20.5,1,0.95
9,-0.422,1,1,24.9,1,0.95
9,-0.359,1,1,24.9,1,0.95
9,-0.353,1,1,24.9,1,0.95
9,-0.816,1,1,30.1,1,0.95
9,-0.309,1,1,29.9,1,0.95
9,-0.272,1,1,29.8,1,0.95
9,-0.516,1,1,35.6,1,0.95
9,-0.309,1,1,35.2,1,0.95
9,-0.222,1,1,34.8,1,0.95
9,-0.503,1,1,40.8,1,0.95
9,-0.234,1,1,39.9,1,0.95
9,-0.241,1,1,40.5,1,0.95
9,-0.316,1,1,46.3,1,0.95
9,-0.218,1,1,45.3,1,0.95
9,-0.116,1,1,44.9,1,0.95
9,-0.216,1,1,9.9,1,0.95
9,-0.184,1,1,10.2,1,0.95
9,-0.191,1,1,15.2,1,0.95
9,-0.116,1,1,15,1,0.95
9,-0.216,1,1,20,1,0.95
9,-0.122,1,1,20,1,0.95
9,-0.222,1,1,24.8,1,0.95
9,-0.141,1,1,24.8,1,0.95
9,-0.241,1,1,30,1,0.95
9,-0.191,1,1,29.5,1,0.95
9,-0.322,1,1,35,1,0.95
9,-0.197,1,1,34.5,1,0.95
9,-0.228,1,1,40,1,0.95
9,-0.209,1,1,40.2,1,0.95
9,-0.216,1,1,45.2,1,0.95
9,-0.216,1,1,45,1,0.95
9,-9.62,1,0,22,1,6.6
9,-7.18,1,0,22,1,5
9,-3.81,1,0,22,1,3.2
9,-1.62,1,0,22,1,1.3
9,-1.73,0,1,22,1,4.31
9,-1.64,0,1,22,1,4.32
9,-1.42,0,1,22,1,4.36
9,-1.53,0,1,22,1,4.38
9,-1.92,0,1,22,1,4.39
9,-1.32,0,1,22,1,4.4
9,-1.52,0,1,22,1,4.42
9,-1.48,0,1,22,1,4.43
9,-1.53,0,1,22,1,4.5
9,-1.5,0,1,22,1,4.51
9,-1.45,0,1,22,1,4.52
9,-0.441,1,1,22,1,1.04
9,-2.22,1,1,22,1,3.12
9,-3.61,1,1,22,1,5.27
9,-5.49,1,1,22,1,7.1
9,-4.32,1,0,22,1,5.1
9,-2.2,1,0,22,1,3.62
9,-0.309,1,0,22,1,0.82
9,-4.51,1,0,22,1,7.94
9,-0.597,1,1,22,2,0.76
