"Real NN 3 for B,0; ,None - All data","Averages for B,0; ,None","Real NN 3 for B,1; ,None - All data","Averages for B,1; ,None"
0.84,0.974937007,0.9,0.673937358
4.85,4.018583715,6.61,6.996281981
0.95,0.925989121,2.62,1.838614106
0.95,0.95683153,0.86,1.070631653
1.63,1.816814095,2.48,2.595069826
0.69,0.73579815,4.67,3.894889534
0.95,0.935648292,0.9,0.682970032
0.95,0.973218039,6.28,6.961550355
7.12,7.212265491,4.67,4.045468688
0.95,0.98693645,3.2,3.3930251
3.6,3.722446203,6.08,5.875703812
6.15,5.819011569,3.1,2.649244964
4.39,4.530133128,7.94,7.578199506
0.95,0.955970153,0.9,0.883842036
0.82,0.810011134,8.84,9.006094456
4.83,5.120408058,7.94,7.518001795
0.95,1.035164759,4.67,3.939718723
7.12,7.113825083,4.67,4.300674081
1.88,1.740383357,3.2,3.143388748
0.56,0.771135062,6.61,6.961674094
4.7,4.744746804,5,5.012469411
0.95,0.921006843,8.01,8.344824076
3.2,3.836318254,6.6,6.073214173
0.95,0.947997779,6.28,7.057908177
0.95,0.981967583,4.67,4.270427823
3.75,4.064934313,6.6,6.269074559
4.01,4.136337996,8.01,8.115938783
7.62,7.041538715,8.01,8.061566591
4.51,3.586458325,3.1,2.516750842
0.95,0.871986568,3.1,2.705005884
0.94,0.876138017,7.94,7.409568191
0.83,1.088826537,2.48,2.608456433
2.62,2.768075407,3.2,3.303724229
1.3,1.384234637,8.84,8.673153639
1.38,1.18699722,4.54,4.065603733
0.95,0.984533936,4.54,4.240182459
7.04,6.447320342,8.01,8.33355093
6.69,6.874265552,3.1,2.982826412
0.93,1.782583743,0.96,1.360497147
0.77,1.004583254,6.61,7.335176468
0.95,0.936125889,0.9,0.918122783
0.84,1.008292332,0.86,1.351489216
4.33,4.019779563,7.94,7.405633569
1.39,2.239516705,8.84,8.144101739
0.86,1.907879859,5,4.877386212
3.75,5.281197786,6.08,5.682275772
0.78,1.117755726,2.62,1.482596874
4.01,4.76080966,6.61,6.7362746
0.95,0.988699347,4.67,4.933912039
0.95,0.98445268,4.67,4.92150259
0.81,0.865922242,6.6,6.279072165
0.95,0.997908846,7.51,7.103785515
4.4,4.297813296,8.01,8.254947662
0.95,0.954534069,5,4.874281764
0.95,0.968813106,4.54,4.188199043
0.8,0.94284901,0.98,1.303729743
0.6,0.602223188,4.67,4.700460434
0.95,0.980471194,7.51,6.661045909
0.78,0.405569267,4.67,4.056521297
0.78,0.880161405,6.6,6.631387472
0.95,0.968170747,0.98,1.119937479
0.95,0.928373829,5,4.851693511
4.51,4.206482053,3.2,3.410976112
4.75,4.756817102,6.6,6.60378027
2.72,2.331304133,6.28,5.696168303
0.69,0.728761271,7.51,7.121121645
0.6,1.163645685,7.94,7.512494564
4.38,4.475019813,4.67,4.098991334
3.62,3.320212007,3.1,2.763611615
0.59,0.842712685,4.29,4.410219908
0.95,0.971958399,6.61,6.53057754
0.7,0.864649937,7.94,5.594343424
1.49,1.592750371,2.28,1.810321599
4.88,4.740990639,3.2,3.301325977
0.95,0.98278074,4.67,4.302642584
0.95,0.951039195,8.01,8.044595361
0.95,0.984892234,2.28,1.816248864
4.89,4.926451087,4.29,4.555166602
4.83,5.712656736,6.08,4.695774496
0.95,0.972730547,4.29,5.036125898
6.41,5.071190476,7.94,6.598266006
6.47,6.295534492,8.01,8.336473227
0.81,0.667941198,2.28,2.682448089
2.16,2.044812709,0.9,0.275119714
0.6,0.601082236,7.51,5.891588569
4.36,4.187467694,5,5.299821973
0.7,0.845290422,2.48,3.941359401
7.89,7.612661242,5,5.071010232
4.43,2.900625706,2.28,2.388215065
2.71,2.650892317,7.94,7.477477431
3.6,2.882326543,5,4.855305195
0.95,0.980503261,6.28,6.991663814
0.7,0.816784084,2.28,2.445800126
4.36,4.082268596,8.01,7.615553737
0.95,0.932834893,0.98,2.494873762
0.95,0.951596454,0.86,1.134653285
4.38,4.426671505,7.94,7.630899072
7.1,7.050387144,6.28,7.049111485
1.42,1.89086926,8.01,8.338993788
0.7,0.633580133,0.98,1.242451519
2.81,3.461054862,3.1,2.839098096
4.75,4.163202584,4.67,4.192182302
5.06,4.897153258,4.67,4.276796103
0.95,0.936414078,4.67,4.76618576
2.79,2.928147256,6.6,6.582840562
1.38,1.101025492,4.67,4.715403676
5.27,5.382075906,6.6,6.559517741
0.95,1.001203105,3.1,2.988738418
0.95,1.07583873,4.67,4.388756096
6.15,6.24552381,2.62,1.611965805
0.95,1.020440742,6.08,5.890955091
5.79,6.033456683,6.28,6.907740235
0.7,0.671775907,0.96,1.367520213
7.1,7.105035663,4.67,4.203888416
0.95,0.976349458,7.94,7.443523049
1.1,1.261186093,8.84,8.956274509
